"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","040070011","1","41.1","ppb","57","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/02/2020","AQS","040070011","1","21.5","ppb","30","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/03/2020","AQS","040070011","1","67.3","ppb","90","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/04/2020","AQS","040070011","1","1.3","ppb","1","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/05/2020","AQS","040070011","1","3.3","ppb","4","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/06/2020","AQS","040070011","1","31.1","ppb","44","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/07/2020","AQS","040070011","1","8.9","ppb","11","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/08/2020","AQS","040070011","1","0.9","ppb","0","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/09/2020","AQS","040070011","1","1.3","ppb","1","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/10/2020","AQS","040070011","1","6","ppb","9","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/11/2020","AQS","040070011","1","56.2","ppb","76","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/12/2020","AQS","040070011","1","22.1","ppb","31","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/13/2020","AQS","040070011","1","1.7","ppb","1","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/14/2020","AQS","040070011","1","1.4","ppb","1","Miami Jones Ranch","22","92.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
"01/15/2020","AQS","040070011","1","50.4","ppb","69","Miami Jones Ranch","24","100.0000","42401","Sulfur dioxide","37740","Payson, AZ","04","Arizona","007","Gila","33.3855","-110.867266666667"
