"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/02/2020","AQS","160010010","1","1.2","ppb","1","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/03/2020","AQS","160010010","1","2.7","ppb","3","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/04/2020","AQS","160010010","1","0.5","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/05/2020","AQS","160010010","1","0.1","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/06/2020","AQS","160010010","1","1.1","ppb","1","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/07/2020","AQS","160010010","1","0.9","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/08/2020","AQS","160010010","1","0.8","ppb","0","Meridian - St. Luke's","19","79.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/09/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/10/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/11/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/12/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/13/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/14/2020","AQS","160010010","1","1.2","ppb","1","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/15/2020","AQS","160010010","1","0.5","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/16/2020","AQS","160010010","1","0.4","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/17/2020","AQS","160010010","1","0.2","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/18/2020","AQS","160010010","1","0.2","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/19/2020","AQS","160010010","1","0.3","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/20/2020","AQS","160010010","1","0.9","ppb","0","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/21/2020","AQS","160010010","1","0.8","ppb","0","Meridian - St. Luke's","20","83.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/22/2020","AQS","160010010","1","1.1","ppb","1","Meridian - St. Luke's","24","100.0000","42401","Sulfur dioxide","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
