"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","17","71.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/02/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/03/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","20","83.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/04/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/05/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/06/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","18","75.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/07/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/08/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/09/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","20","83.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/10/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/11/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","13","54.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/12/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","17","71.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/13/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/14/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/15/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","20","83.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/16/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/17/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/18/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","18","75.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/19/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/20/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","8","33.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/21/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","5","21.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/22/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","15","63.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/23/2020","AQS","470090101","1","0.1","ppm","1","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/24/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","18","75.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/25/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/26/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/27/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","20","83.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/28/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","22","92.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/29/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","24","100.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
"01/30/2020","AQS","470090101","1","0.2","ppm","2","Great Smoky Mountains NP - Look Rock","18","75.0000","42101","Carbon monoxide","28940","Knoxville, TN","47","Tennessee","009","Blount","35.63348","-83.941606"
