"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","19","79.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/02/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/03/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/04/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/05/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/06/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/07/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/08/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/09/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/10/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/11/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/12/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/13/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/14/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/15/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","19","79.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/16/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","22","92.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/17/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/18/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/19/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/20/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","21","88.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/21/2020","AQS","560090010","1","0","ppm","0","Converse County Long-Term","20","83.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/22/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/23/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/24/2020","AQS","560090010","1","0","ppm","0","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/25/2020","AQS","560090010","1","0","ppm","0","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/26/2020","AQS","560090010","1","0","ppm","0","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/27/2020","AQS","560090010","1","0","ppm","0","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
"01/28/2020","AQS","560090010","1","0.1","ppm","1","Converse County Long-Term","24","100.0000","42101","Carbon monoxide","","","56","Wyoming","009","Converse","43.101281","-105.498931"
