"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","450790007","1","0.1","ppm","1","PARKLANE","19","79.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/02/2020","AQS","450790007","1","0.3","ppm","3","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/03/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/04/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/05/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/06/2020","AQS","450790007","1","0.3","ppm","3","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/07/2020","AQS","450790007","1","0.4","ppm","5","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/08/2020","AQS","450790007","1","0.2","ppm","2","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/09/2020","AQS","450790007","1","0.3","ppm","3","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/10/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/11/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/12/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/13/2020","AQS","450790007","1","0.1","ppm","1","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/14/2020","AQS","450790007","1","0.1","ppm","1","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/15/2020","AQS","450790007","1","0.1","ppm","1","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/16/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/17/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
"01/18/2020","AQS","450790007","1","0","ppm","0","PARKLANE","24","100.0000","42101","Carbon monoxide","17900","Columbia, SC","45","South Carolina","079","Richland","34.093959","-80.962304"
