"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","18","75.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/02/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/03/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/04/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/05/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/06/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/07/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/08/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/09/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/10/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/11/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/12/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/13/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/14/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/15/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/16/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/17/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/18/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/19/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/20/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/21/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/22/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/23/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/24/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/25/2020","AQS","500070007","1","0.1","ppm","1","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
"01/26/2020","AQS","500070007","1","0.2","ppm","2","PROCTOR MAPLE RESEARCH CTR","24","100.0000","42101","Carbon monoxide","15540","Burlington-South Burlington, VT","50","Vermont","007","Chittenden","44.5283900009431","-72.86884"
