"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","540390020","1","0.3","ppm","3","","19","79.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/02/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/03/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/04/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/05/2020","AQS","540390020","1","0.3","ppm","3","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/06/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/07/2020","AQS","540390020","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/08/2020","AQS","540390020","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/09/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/10/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/11/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/12/2020","AQS","540390020","1","0.3","ppm","3","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/13/2020","AQS","540390020","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/14/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/15/2020","AQS","540390020","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/16/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/17/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/18/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/19/2020","AQS","540390020","1","0.2","ppm","2","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/20/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/21/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/22/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/23/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/24/2020","AQS","540390020","1","0.7","ppm","8","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/25/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/26/2020","AQS","540390020","1","0.3","ppm","3","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/27/2020","AQS","540390020","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/28/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/29/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/30/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/31/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/01/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/02/2020","AQS","540390020","1","0.2","ppm","2","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/03/2020","AQS","540390020","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/04/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/05/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/06/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/07/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/08/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/09/2020","AQS","540390020","1","0.3","ppm","3","","18","75.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/10/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/11/2020","AQS","540390020","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/12/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/13/2020","AQS","540390020","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/14/2020","AQS","540390020","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
