"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","160010010","1","9.8","ppb","8","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/02/2020","AQS","160010010","1","32.4","ppb","30","Meridian - St. Luke's","20","83.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/03/2020","AQS","160010010","1","37.6","ppb","35","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/04/2020","AQS","160010010","1","35.7","ppb","33","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/05/2020","AQS","160010010","1","17.3","ppb","16","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/06/2020","AQS","160010010","1","35.9","ppb","33","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/07/2020","AQS","160010010","1","27.2","ppb","25","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/08/2020","AQS","160010010","1","29.7","ppb","27","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/09/2020","AQS","160010010","1","19.6","ppb","18","Meridian - St. Luke's","21","88.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/10/2020","AQS","160010010","1","22","ppb","21","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/11/2020","AQS","160010010","1","27.1","ppb","25","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/12/2020","AQS","160010010","1","13.2","ppb","12","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/13/2020","AQS","160010010","1","18.2","ppb","17","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/14/2020","AQS","160010010","1","38.8","ppb","36","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/15/2020","AQS","160010010","1","32.3","ppb","30","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/16/2020","AQS","160010010","1","13.2","ppb","12","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/17/2020","AQS","160010010","1","29.3","ppb","27","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/18/2020","AQS","160010010","1","17.4","ppb","16","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/19/2020","AQS","160010010","1","25.1","ppb","24","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/20/2020","AQS","160010010","1","35.7","ppb","33","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/21/2020","AQS","160010010","1","27.7","ppb","25","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/22/2020","AQS","160010010","1","31.5","ppb","29","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/23/2020","AQS","160010010","1","25.3","ppb","24","Meridian - St. Luke's","20","83.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/24/2020","AQS","160010010","1","15.2","ppb","14","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/25/2020","AQS","160010010","1","21.4","ppb","20","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/26/2020","AQS","160010010","1","20.7","ppb","19","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/27/2020","AQS","160010010","1","24.7","ppb","23","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/28/2020","AQS","160010010","1","31.4","ppb","29","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/29/2020","AQS","160010010","1","28.2","ppb","26","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/30/2020","AQS","160010010","1","19.4","ppb","18","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"01/31/2020","AQS","160010010","1","18","ppb","17","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/01/2020","AQS","160010010","1","18.5","ppb","17","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/02/2020","AQS","160010010","1","11.7","ppb","10","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/03/2020","AQS","160010010","1","5.9","ppb","5","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/04/2020","AQS","160010010","1","30.2","ppb","28","Meridian - St. Luke's","23","96.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/05/2020","AQS","160010010","1","25.7","ppb","24","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/06/2020","AQS","160010010","1","32.1","ppb","30","Meridian - St. Luke's","21","88.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/07/2020","AQS","160010010","1","25.8","ppb","24","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/08/2020","AQS","160010010","1","12.8","ppb","11","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/09/2020","AQS","160010010","1","16.7","ppb","15","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/10/2020","AQS","160010010","1","26.9","ppb","25","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/11/2020","AQS","160010010","1","37.5","ppb","35","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/12/2020","AQS","160010010","1","39.7","ppb","37","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/13/2020","AQS","160010010","1","36","ppb","34","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/14/2020","AQS","160010010","1","37.5","ppb","35","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/15/2020","AQS","160010010","1","24","ppb","23","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/16/2020","AQS","160010010","1","15.3","ppb","14","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/17/2020","AQS","160010010","1","33.4","ppb","31","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/18/2020","AQS","160010010","1","35.7","ppb","33","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/19/2020","AQS","160010010","1","25.7","ppb","24","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/20/2020","AQS","160010010","1","15","ppb","14","Meridian - St. Luke's","20","83.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/21/2020","AQS","160010010","1","42.1","ppb","40","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/22/2020","AQS","160010010","1","37.9","ppb","35","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/23/2020","AQS","160010010","1","28.6","ppb","26","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/24/2020","AQS","160010010","1","27.1","ppb","25","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/25/2020","AQS","160010010","1","39.1","ppb","37","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/26/2020","AQS","160010010","1","38.2","ppb","36","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/27/2020","AQS","160010010","1","43.6","ppb","41","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/28/2020","AQS","160010010","1","20.8","ppb","19","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/29/2020","AQS","160010010","1","17.9","ppb","16","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/01/2020","AQS","160010010","1","7.5","ppb","7","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/02/2020","AQS","160010010","1","33.5","ppb","31","Meridian - St. Luke's","24","100.0000","42602","Nitrogen dioxide (NO2)","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
