"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","050350005","1","23.1","ppb","22","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/02/2020","AQS","050350005","1","27.8","ppb","25","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/03/2020","AQS","050350005","1","12.8","ppb","11","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/04/2020","AQS","050350005","1","25.4","ppb","24","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/05/2020","AQS","050350005","1","27.8","ppb","25","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/06/2020","AQS","050350005","1","17.1","ppb","16","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/07/2020","AQS","050350005","1","35.6","ppb","33","MARION","22","92.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/08/2020","AQS","050350005","1","28.4","ppb","26","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/09/2020","AQS","050350005","1","11.2","ppb","10","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/10/2020","AQS","050350005","1","15.1","ppb","14","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/11/2020","AQS","050350005","1","8.4","ppb","8","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/12/2020","AQS","050350005","1","15.2","ppb","14","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/13/2020","AQS","050350005","1","19.8","ppb","18","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/14/2020","AQS","050350005","1","16.7","ppb","15","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/15/2020","AQS","050350005","1","15.7","ppb","14","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/16/2020","AQS","050350005","1","7.8","ppb","7","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/17/2020","AQS","050350005","1","21.1","ppb","20","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
"01/18/2020","AQS","050350005","1","6.7","ppb","6","MARION","24","100.0000","42602","Nitrogen dioxide (NO2)","32820","Memphis, TN-MS-AR","05","Arkansas","035","Crittenden","35.1972876317392","-90.1931407655994"
