"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","460110003","3","0.041","ppm","38","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/02/2020","AQS","460110003","3","0.033","ppm","31","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/03/2020","AQS","460110003","3","0.037","ppm","34","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/04/2020","AQS","460110003","3","0.034","ppm","31","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/05/2020","AQS","460110003","3","0.041","ppm","38","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/06/2020","AQS","460110003","3","0.039","ppm","36","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/07/2020","AQS","460110003","3","0.041","ppm","38","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/08/2020","AQS","460110003","3","0.033","ppm","31","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/09/2020","AQS","460110003","3","0.03","ppm","28","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
"01/10/2020","AQS","460110003","3","0.033","ppm","31","Research Farm","17","100.0000","44201","Ozone","15100","Brookings, SD","46","South Dakota","011","Brookings","44.3486039691769","-96.8072988595708"
