"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","480271045","1","0.032","ppm","30","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/02/2020","AQS","480271045","1","0.016","ppm","15","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/03/2020","AQS","480271045","1","0.03","ppm","28","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/04/2020","AQS","480271045","1","0.039","ppm","36","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/05/2020","AQS","480271045","1","0.042","ppm","39","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/06/2020","AQS","480271045","1","0.038","ppm","35","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/07/2020","AQS","480271045","1","0.039","ppm","36","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/08/2020","AQS","480271045","1","0.045","ppm","42","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/09/2020","AQS","480271045","1","0.032","ppm","30","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/10/2020","AQS","480271045","1","0.032","ppm","30","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/11/2020","AQS","480271045","1","0.028","ppm","26","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
"01/12/2020","AQS","480271045","1","0.03","ppm","28","Temple Georgia","17","100.0000","44201","Ozone","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.122419","-97.431052"
