"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","560019991","1","0.046","ppm","43","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/02/2020","AQS","560019991","1","0.044","ppm","41","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/03/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/04/2020","AQS","560019991","1","0.047","ppm","44","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/05/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/06/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/07/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/08/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/09/2020","AQS","560019991","1","0.044","ppm","41","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/10/2020","AQS","560019991","1","0.052","ppm","48","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/11/2020","AQS","560019991","1","0.045","ppm","42","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/12/2020","AQS","560019991","1","0.043","ppm","40","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/13/2020","AQS","560019991","1","0.046","ppm","43","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/15/2020","AQS","560019991","1","0.049","ppm","45","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/16/2020","AQS","560019991","1","0.05","ppm","46","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/17/2020","AQS","560019991","1","0.046","ppm","43","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
"01/18/2020","AQS","560019991","1","0.049","ppm","45","Centennial","17","100.0000","44201","Ozone","29660","Laramie, WY","56","Wyoming","001","Albany","41.3642","-106.2399"
