"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/13/2020","AirNow","540030003","1","0.034","ppm","31","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/14/2020","AirNow","540030003","1","0.032","ppm","30","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/15/2020","AirNow","540030003","1","0.032","ppm","30","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/16/2020","AirNow","540030003","1","0.026","ppm","24","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/17/2020","AirNow","540030003","1","0.037","ppm","34","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/18/2020","AirNow","540030003","1","0.035","ppm","32","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/19/2020","AirNow","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/20/2020","AirNow","540030003","1","0.036","ppm","33","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/21/2020","AirNow","540030003","1","0.038","ppm","35","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/22/2020","AirNow","540030003","1","0.043","ppm","40","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/23/2020","AirNow","540030003","1","0.045","ppm","42","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/24/2020","AirNow","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/25/2020","AirNow","540030003","1","0.024","ppm","22","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/26/2020","AirNow","540030003","1","0.03","ppm","28","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/27/2020","AirNow","540030003","1","0.037","ppm","34","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/28/2020","AirNow","540030003","1","0.04","ppm","37","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"02/29/2020","AirNow","540030003","1","0.039","ppm","36","MARTINSBURG BALL FIELD","24","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/01/2020","AQS","540030003","1","0.042","ppm","39","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"03/02/2020","AQS","540030003","1","0.044","ppm","41","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
