"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","500030004","1","0.034","ppm","31","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/02/2020","AQS","500030004","1","0.036","ppm","33","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/03/2020","AQS","500030004","1","0.018","ppm","17","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/04/2020","AQS","500030004","1","0.025","ppm","23","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/05/2020","AQS","500030004","1","0.036","ppm","33","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/06/2020","AQS","500030004","1","0.035","ppm","32","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/07/2020","AQS","500030004","1","0.038","ppm","35","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/08/2020","AQS","500030004","1","0.034","ppm","31","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/09/2020","AQS","500030004","1","0.031","ppm","29","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/10/2020","AQS","500030004","1","0.029","ppm","27","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/11/2020","AQS","500030004","1","0.038","ppm","35","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/12/2020","AQS","500030004","1","0.03","ppm","28","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/13/2020","AQS","500030004","1","0.025","ppm","23","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/14/2020","AQS","500030004","1","0.028","ppm","26","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/15/2020","AQS","500030004","1","0.029","ppm","27","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/16/2020","AQS","500030004","1","0.035","ppm","32","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/17/2020","AQS","500030004","1","0.038","ppm","35","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/18/2020","AQS","500030004","1","0.035","ppm","32","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/19/2020","AQS","500030004","1","0.036","ppm","33","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/20/2020","AQS","500030004","1","0.039","ppm","36","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/21/2020","AQS","500030004","1","0.037","ppm","34","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/22/2020","AQS","500030004","1","0.039","ppm","36","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/23/2020","AQS","500030004","1","0.035","ppm","32","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
"01/24/2020","AQS","500030004","1","0.04","ppm","37","Morse Airport - State of Vermont Property","17","100.0000","44201","Ozone","13540","Bennington, VT","50","Vermont","003","Bennington","42.8875900009408","-73.24984"
