"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","090010010","3","4","ug/m3 SC","4","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/02/2020","AQS","090010010","3","15","ug/m3 SC","14","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/03/2020","AQS","090010010","3","21","ug/m3 SC","19","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/04/2020","AQS","090010010","3","18","ug/m3 SC","17","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/05/2020","AQS","090010010","3","3","ug/m3 SC","3","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/06/2020","AQS","090010010","3","11","ug/m3 SC","10","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/07/2020","AQS","090010010","3","12","ug/m3 SC","11","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/08/2020","AQS","090010010","3","11","ug/m3 SC","10","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/09/2020","AQS","090010010","3","7","ug/m3 SC","6","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/10/2020","AQS","090010010","3","16","ug/m3 SC","15","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/11/2020","AQS","090010010","3","22","ug/m3 SC","20","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/12/2020","AQS","090010010","3","12","ug/m3 SC","11","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/13/2020","AQS","090010010","3","13","ug/m3 SC","12","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/14/2020","AQS","090010010","3","16","ug/m3 SC","15","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/15/2020","AQS","090010010","3","20","ug/m3 SC","19","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/16/2020","AQS","090010010","3","13","ug/m3 SC","12","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/17/2020","AQS","090010010","3","7","ug/m3 SC","6","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/18/2020","AQS","090010010","3","9","ug/m3 SC","8","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/19/2020","AQS","090010010","3","9","ug/m3 SC","8","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/20/2020","AQS","090010010","3","6","ug/m3 SC","6","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/21/2020","AQS","090010010","3","9","ug/m3 SC","8","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/22/2020","AQS","090010010","3","21","ug/m3 SC","19","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/23/2020","AQS","090010010","3","41","ug/m3 SC","38","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/24/2020","AQS","090010010","3","38","ug/m3 SC","35","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/25/2020","AQS","090010010","3","14","ug/m3 SC","13","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/26/2020","AQS","090010010","3","6","ug/m3 SC","6","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/27/2020","AQS","090010010","3","8","ug/m3 SC","7","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/28/2020","AQS","090010010","3","5","ug/m3 SC","5","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
"01/29/2020","AQS","090010010","3","5","ug/m3 SC","5","Roosevelt School-Bridgeport","1","100.0000","81102","PM10 Total 0-10um STP","14860","Bridgeport-Stamford-Norwalk, CT","09","Connecticut","001","Fairfield","41.170833000935","-73.194722"
