"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","130890002","1","9","ug/m3 SC","8","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/02/2020","AQS","130890002","1","15","ug/m3 SC","14","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/03/2020","AQS","130890002","1","14","ug/m3 SC","13","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/04/2020","AQS","130890002","1","9","ug/m3 SC","8","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/05/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/06/2020","AQS","130890002","1","14","ug/m3 SC","13","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/07/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/08/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/09/2020","AQS","130890002","1","17","ug/m3 SC","16","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/10/2020","AQS","130890002","1","17","ug/m3 SC","16","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/11/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/12/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/13/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/14/2020","AQS","130890002","1","9","ug/m3 SC","8","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/15/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/16/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/17/2020","AQS","130890002","1","7","ug/m3 SC","6","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/18/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/19/2020","AQS","130890002","1","7","ug/m3 SC","6","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/20/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/21/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/22/2020","AQS","130890002","1","17","ug/m3 SC","16","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/23/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/24/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/25/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/26/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/27/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/28/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/29/2020","AQS","130890002","1","14","ug/m3 SC","13","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/30/2020","AQS","130890002","1","16","ug/m3 SC","15","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"01/31/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/01/2020","AQS","130890002","1","15","ug/m3 SC","14","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/02/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/03/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/04/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/05/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/06/2020","AQS","130890002","1","9","ug/m3 SC","8","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/07/2020","AQS","130890002","1","4","ug/m3 SC","4","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/08/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/09/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/10/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/11/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/12/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/13/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/14/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/15/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/16/2020","AQS","130890002","1","14","ug/m3 SC","13","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/17/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/18/2020","AQS","130890002","1","8","ug/m3 SC","7","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/19/2020","AQS","130890002","1","11","ug/m3 SC","10","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/20/2020","AQS","130890002","1","6","ug/m3 SC","6","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/21/2020","AQS","130890002","1","10","ug/m3 SC","9","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/22/2020","AQS","130890002","1","14","ug/m3 SC","13","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/23/2020","AQS","130890002","1","15","ug/m3 SC","14","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/24/2020","AQS","130890002","1","13","ug/m3 SC","12","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/25/2020","AQS","130890002","1","12","ug/m3 SC","11","South DeKalb","1","100.0000","81102","PM10 Total 0-10um STP","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
