"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","160010009","3","4","ug/m3 SC","4","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/02/2020","AQS","160010009","3","16","ug/m3 SC","15","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/03/2020","AQS","160010009","3","28","ug/m3 SC","26","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/04/2020","AQS","160010009","3","13","ug/m3 SC","12","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/05/2020","AQS","160010009","3","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/06/2020","AQS","160010009","3","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/07/2020","AQS","160010009","3","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/08/2020","AQS","160010009","3","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/09/2020","AQS","160010009","3","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/10/2020","AQS","160010009","3","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/11/2020","AQS","160010009","3","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/12/2020","AQS","160010009","3","5","ug/m3 SC","5","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/13/2020","AQS","160010009","3","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/14/2020","AQS","160010009","3","9","ug/m3 SC","8","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/15/2020","AQS","160010009","3","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/16/2020","AQS","160010009","3","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/17/2020","AQS","160010009","3","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/18/2020","AQS","160010009","3","12","ug/m3 SC","11","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/19/2020","AQS","160010009","3","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/20/2020","AQS","160010009","3","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/21/2020","AQS","160010009","3","21","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/22/2020","AQS","160010009","3","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/23/2020","AQS","160010009","3","26","ug/m3 SC","24","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/24/2020","AQS","160010009","3","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/25/2020","AQS","160010009","3","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/26/2020","AQS","160010009","3","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/27/2020","AQS","160010009","3","15","ug/m3 SC","14","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/28/2020","AQS","160010009","3","11","ug/m3 SC","10","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/29/2020","AQS","160010009","3","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/30/2020","AQS","160010009","3","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"01/31/2020","AQS","160010009","3","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/01/2020","AQS","160010009","3","21","ug/m3 SC","19","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/02/2020","AQS","160010009","3","6","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/03/2020","AQS","160010009","3","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/04/2020","AQS","160010009","3","14","ug/m3 SC","13","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/05/2020","AQS","160010009","3","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/06/2020","AQS","160010009","3","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/07/2020","AQS","160010009","3","10","ug/m3 SC","9","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/08/2020","AQS","160010009","3","8","ug/m3 SC","7","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/09/2020","AQS","160010009","3","7","ug/m3 SC","6","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/10/2020","AQS","160010009","3","17","ug/m3 SC","16","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
"02/11/2020","AQS","160010009","3","23","ug/m3 SC","21","","1","100.0000","81102","PM10 Total 0-10um STP","14260","Boise City, ID","16","Idaho","001","Ada","43.618889","-116.213611"
