"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","080010008","1","17","ug/m3 SC","16","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/02/2020","AQS","080010008","1","26","ug/m3 SC","24","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/03/2020","AQS","080010008","1","31","ug/m3 SC","29","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/04/2020","AQS","080010008","1","24","ug/m3 SC","22","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/05/2020","AQS","080010008","1","13","ug/m3 SC","12","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/06/2020","AQS","080010008","1","38","ug/m3 SC","35","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/07/2020","AQS","080010008","1","39","ug/m3 SC","36","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/08/2020","AQS","080010008","1","46","ug/m3 SC","43","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/09/2020","AQS","080010008","1","25","ug/m3 SC","23","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/10/2020","AQS","080010008","1","24","ug/m3 SC","22","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/11/2020","AQS","080010008","1","29","ug/m3 SC","27","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/12/2020","AQS","080010008","1","15","ug/m3 SC","14","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/13/2020","AQS","080010008","1","59","ug/m3 SC","53","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/14/2020","AQS","080010008","1","80","ug/m3 SC","63","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/15/2020","AQS","080010008","1","40","ug/m3 SC","37","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/16/2020","AQS","080010008","1","45","ug/m3 SC","42","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/17/2020","AQS","080010008","1","72","ug/m3 SC","59","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/18/2020","AQS","080010008","1","27","ug/m3 SC","25","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/19/2020","AQS","080010008","1","31","ug/m3 SC","29","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/20/2020","AQS","080010008","1","101","ug/m3 SC","74","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/21/2020","AQS","080010008","1","139","ug/m3 SC","93","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/22/2020","AQS","080010008","1","68","ug/m3 SC","57","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/23/2020","AQS","080010008","1","34","ug/m3 SC","31","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/24/2020","AQS","080010008","1","75","ug/m3 SC","61","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/25/2020","AQS","080010008","1","37","ug/m3 SC","34","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/26/2020","AQS","080010008","1","22","ug/m3 SC","20","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/27/2020","AQS","080010008","1","40","ug/m3 SC","37","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/28/2020","AQS","080010008","1","36","ug/m3 SC","33","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/29/2020","AQS","080010008","1","37","ug/m3 SC","34","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/30/2020","AQS","080010008","1","26","ug/m3 SC","24","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/31/2020","AQS","080010008","1","31","ug/m3 SC","29","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/01/2020","AQS","080010008","1","21","ug/m3 SC","19","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/02/2020","AQS","080010008","1","15","ug/m3 SC","14","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/03/2020","AQS","080010008","1","4","ug/m3 SC","4","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/04/2020","AQS","080010008","1","6","ug/m3 SC","6","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/06/2020","AQS","080010008","1","18","ug/m3 SC","17","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/07/2020","AQS","080010008","1","6","ug/m3 SC","6","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/08/2020","AQS","080010008","1","29","ug/m3 SC","27","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/09/2020","AQS","080010008","1","6","ug/m3 SC","6","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/10/2020","AQS","080010008","1","15","ug/m3 SC","14","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/11/2020","AQS","080010008","1","29","ug/m3 SC","27","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/12/2020","AQS","080010008","1","28","ug/m3 SC","26","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/13/2020","AQS","080010008","1","14","ug/m3 SC","13","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/14/2020","AQS","080010008","1","69","ug/m3 SC","58","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/15/2020","AQS","080010008","1","15","ug/m3 SC","14","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/16/2020","AQS","080010008","1","33","ug/m3 SC","31","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/17/2020","AQS","080010008","1","20","ug/m3 SC","19","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/18/2020","AQS","080010008","1","19","ug/m3 SC","18","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/19/2020","AQS","080010008","1","15","ug/m3 SC","14","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/20/2020","AQS","080010008","1","37","ug/m3 SC","34","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/21/2020","AQS","080010008","1","59","ug/m3 SC","53","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/22/2020","AQS","080010008","1","50","ug/m3 SC","46","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"02/23/2020","AQS","080010008","1","14","ug/m3 SC","13","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
