"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","120570100","1","0.028","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"01/10/2020","AQS","120570100","1","0.002","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"01/16/2020","AQS","120570100","1","0.003","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"01/22/2020","AQS","120570100","1","0.002","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"01/28/2020","AQS","120570100","1","0.004","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"02/03/2020","AQS","120570100","1","0.012","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"02/09/2020","AQS","120570100","1","0.004","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"02/15/2020","AQS","120570100","1","0.002","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"02/21/2020","AQS","120570100","1","0.003","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"02/27/2020","AQS","120570100","1","0.002","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"03/04/2020","AQS","120570100","1","0.013","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"03/10/2020","AQS","120570100","1","0.004","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"03/16/2020","AQS","120570100","1","0.003","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"03/22/2020","AQS","120570100","1","0.002","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
"03/28/2020","AQS","120570100","1","0.004","ug/m3 LC",".","KENLY","1","100.0000","14129","Lead (TSP) LC","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.9703280007822","-82.38005"
