"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","132150009","1","0.014","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/10/2020","AQS","132150009","1","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/16/2020","AQS","132150009","1","0.001","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/22/2020","AQS","132150009","1","0.003","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/28/2020","AQS","132150009","1","0.015","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/03/2020","AQS","132150009","1","0.004","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/09/2020","AQS","132150009","1","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/15/2020","AQS","132150009","1","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/21/2020","AQS","132150009","1","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/27/2020","AQS","132150009","1","0.02","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/04/2020","AQS","132150009","1","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/10/2020","AQS","132150009","1","0.007","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/16/2020","AQS","132150009","1","0.004","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/22/2020","AQS","132150009","1","0.003","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/28/2020","AQS","132150009","1","0.003","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"04/03/2020","AQS","132150009","1","0.005","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"04/09/2020","AQS","132150009","1","0.005","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"04/15/2020","AQS","132150009","1","0.005","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"04/21/2020","AQS","132150009","1","0.007","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"04/27/2020","AQS","132150009","1","0.006","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/04/2020","AQS","132150009","2","0.021","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/16/2020","AQS","132150009","2","0.001","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"01/28/2020","AQS","132150009","2","0.017","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/09/2020","AQS","132150009","2","0.001","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"02/21/2020","AQS","132150009","2","0.002","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/04/2020","AQS","132150009","2","0.001","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/10/2020","AQS","132150009","2","0.007","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
"03/22/2020","AQS","132150009","2","0.003","ug/m3 LC",".","Columbus-Allied","1","100.0000","14129","Lead (TSP) LC","17980","Columbus, GA-AL","13","Georgia","215","Muscogee","32.4344000008546","-84.9293"
