"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","180350009","3","0.006","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/10/2020","AQS","180350009","3","0.005","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/16/2020","AQS","180350009","3","0.007","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/22/2020","AQS","180350009","3","0.012","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/28/2020","AQS","180350009","3","0.007","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/03/2020","AQS","180350009","3","0.044","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/09/2020","AQS","180350009","3","0.008","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/15/2020","AQS","180350009","3","0.014","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/21/2020","AQS","180350009","3","0.064","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/27/2020","AQS","180350009","3","0.006","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/04/2020","AQS","180350009","3","0.02","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/10/2020","AQS","180350009","3","0.009","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/16/2020","AQS","180350009","3","0.01","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/22/2020","AQS","180350009","3","0.002","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/28/2020","AQS","180350009","3","0.036","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/04/2020","AQS","180350009","4","0.003","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/10/2020","AQS","180350009","4","0.005","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/16/2020","AQS","180350009","4","0.006","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/22/2020","AQS","180350009","4","0.011","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/28/2020","AQS","180350009","4","0.003","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/03/2020","AQS","180350009","4","0.041","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/09/2020","AQS","180350009","4","0.002","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/15/2020","AQS","180350009","4","0.014","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/21/2020","AQS","180350009","4","0.06","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"02/27/2020","AQS","180350009","4","0.006","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/04/2020","AQS","180350009","4","0.018","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/10/2020","AQS","180350009","4","0.01","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/16/2020","AQS","180350009","4","0.021","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"03/22/2020","AQS","180350009","4","0.002","ug/m3 LC",".","Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE","1","100.0000","14129","Lead (TSP) LC","34620","Muncie, IN","18","Indiana","035","Delaware","40.1584171009301","-85.4150209"
"01/04/2020","AQS","180890032","1","0.004","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"01/10/2020","AQS","180890032","1","0.007","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"01/16/2020","AQS","180890032","1","0.013","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"01/22/2020","AQS","180890032","1","0.003","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"01/28/2020","AQS","180890032","1","0.003","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"02/03/2020","AQS","180890032","1","0.015","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"02/09/2020","AQS","180890032","1","0.002","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"02/15/2020","AQS","180890032","1","0.003","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"02/21/2020","AQS","180890032","1","0.05","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"03/10/2020","AQS","180890032","1","0.018","ug/m3 LC",".","Gary- 4th Ave./ Railcats","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6035817009368","-87.3326576"
"01/04/2020","AQS","180890034","1","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/10/2020","AQS","180890034","1","0.006","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/16/2020","AQS","180890034","1","0.008","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/22/2020","AQS","180890034","1","0.005","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/28/2020","AQS","180890034","1","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/03/2020","AQS","180890034","1","0.004","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/09/2020","AQS","180890034","1","0.002","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/15/2020","AQS","180890034","1","0.002","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/21/2020","AQS","180890034","1","0.066","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/27/2020","AQS","180890034","1","0.006","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/04/2020","AQS","180890034","1","0.005","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/10/2020","AQS","180890034","1","0.008","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/16/2020","AQS","180890034","1","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/22/2020","AQS","180890034","1","0.006","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/28/2020","AQS","180890034","1","0.005","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/07/2020","AQS","180890034","2","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/13/2020","AQS","180890034","2","0.002","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/19/2020","AQS","180890034","2","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/25/2020","AQS","180890034","2","0.001","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/31/2020","AQS","180890034","2","0.002","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/06/2020","AQS","180890034","2","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/12/2020","AQS","180890034","2","0.004","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/18/2020","AQS","180890034","2","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"02/24/2020","AQS","180890034","2","0.006","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/01/2020","AQS","180890034","2","0.004","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/07/2020","AQS","180890034","2","0.004","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/13/2020","AQS","180890034","2","0.003","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"03/19/2020","AQS","180890034","2","0.002","ug/m3 LC",".","East Chicago-Marina","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.653500828937","-87.435561426"
"01/04/2020","AQS","180890037","1","0.007","ug/m3 LC",".","Hammond- E. Lakeview St.","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6742775709371","-87.494981463"
"01/10/2020","AQS","180890037","1","0.069","ug/m3 LC",".","Hammond- E. Lakeview St.","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","18","Indiana","089","Lake","41.6742775709371","-87.494981463"
